payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
343,13,2,9260,9.99,"2005-07-30 14:38:22","2006-02-15 22:12:31"
346,13,1,9736,7.99,"2005-07-31 08:58:40","2006-02-15 22:12:32"
350,13,2,11761,5.99,"2005-08-17 09:44:59","2006-02-15 22:12:32"
351,13,2,12918,7.99,"2005-08-19 04:31:36","2006-02-15 22:12:32"
355,13,1,14252,9.99,"2005-08-21 05:44:07","2006-02-15 22:12:32"
356,13,2,14545,7.99,"2005-08-21 15:44:23","2006-02-15 22:12:32"
359,14,1,346,9.99,"2005-05-27 04:34:41","2006-02-15 22:12:32"
360,14,1,525,5.99,"2005-05-28 04:25:33","2006-02-15 22:12:32"
367,14,2,5317,7.99,"2005-07-09 16:10:25","2006-02-15 22:12:32"
369,14,1,5565,7.99,"2005-07-10 03:29:48","2006-02-15 22:12:32"
370,14,1,8035,6.99,"2005-07-28 16:23:01","2006-02-15 22:12:32"
377,14,2,10526,6.99,"2005-08-01 11:55:33","2006-02-15 22:12:32"
382,14,2,15015,6.99,"2005-08-22 08:43:50","2006-02-15 22:12:32"
387,15,1,2937,5.99,"2005-06-20 05:15:37","2006-02-15 22:12:32"
389,15,1,3550,7.99,"2005-07-06 02:29:21","2006-02-15 22:12:32"
390,15,1,4127,5.99,"2005-07-07 07:26:19","2006-02-15 22:12:32"
395,15,2,8615,6.99,"2005-07-29 13:36:01","2006-02-15 22:12:32"
402,15,1,11922,7.99,"2005-08-17 16:20:37","2006-02-15 22:12:32"
406,15,2,13339,8.99,"2005-08-19 20:18:36","2006-02-15 22:12:32"
407,15,1,13393,5.99,"2005-08-19 22:03:46","2006-02-15 22:12:32"
408,15,2,13503,5.99,"2005-08-20 02:00:33","2006-02-15 22:12:32"
413,15,2,14872,8.99,"2005-08-22 03:23:41","2006-02-15 22:12:32"
422,16,2,1934,6.99,"2005-06-17 07:04:57","2006-02-15 22:12:32"
423,16,1,1944,7.99,"2005-06-17 07:50:53","2006-02-15 22:12:32"
425,16,1,2960,7.99,"2005-06-20 07:10:09","2006-02-15 22:12:32"
434,16,2,8452,5.99,"2005-07-29 07:45:00","2006-02-15 22:12:32"
436,16,2,9610,5.99,"2005-07-31 03:54:05","2006-02-15 22:12:32"
442,16,1,12577,7.99,"2005-08-18 15:39:46","2006-02-15 22:12:32"
445,16,1,13480,6.99,"2005-08-20 01:10:27","2006-02-15 22:12:32"
446,16,1,14511,8.99,"2005-08-21 14:45:34","2006-02-15 22:12:32"
450,17,2,2175,5.99,"2005-06-18 00:17:58","2006-02-15 22:12:32"
451,17,1,2684,8.99,"2005-06-19 12:29:08","2006-02-15 22:12:32"
452,17,2,3269,5.99,"2005-06-21 05:06:30","2006-02-15 22:12:32"
456,17,2,8076,8.99,"2005-07-28 17:45:58","2006-02-15 22:12:32"
458,17,2,9092,8.99,"2005-07-30 08:30:56","2006-02-15 22:12:32"
460,17,2,9382,8.99,"2005-07-30 19:23:44","2006-02-15 22:12:32"
467,17,2,15752,5.99,"2005-08-23 12:41:38","2006-02-15 22:12:32"
471,18,2,1451,5.99,"2005-06-15 19:30:18","2006-02-15 22:12:32"
473,18,2,2112,5.99,"2005-06-17 19:52:42","2006-02-15 22:12:32"
474,18,1,2990,8.99,"2005-06-20 09:02:51","2006-02-15 22:12:32"
491,19,2,110,9.99,"2005-05-25 18:43:49","2006-02-15 22:12:33"
492,19,1,179,6.99,"2005-05-26 04:26:06","2006-02-15 22:12:33"
501,19,1,9157,5.99,"2005-07-30 11:06:23","2006-02-15 22:12:33"
503,19,2,10077,9.99,"2005-07-31 20:01:06","2006-02-15 22:12:33"
504,19,1,10176,7.99,"2005-07-31 23:40:35","2006-02-15 22:12:33"
505,19,2,11508,8.99,"2005-08-16 23:27:36","2006-02-15 22:12:33"
506,19,1,11869,5.99,"2005-08-17 14:10:22","2006-02-15 22:12:33"
507,19,1,12211,9.99,"2005-08-18 02:31:18","2006-02-15 22:12:33"
509,19,1,13718,8.99,"2005-08-20 09:53:44","2006-02-15 22:12:33"
510,19,2,13804,8.99,"2005-08-20 12:46:32","2006-02-15 22:12:33"
515,20,2,497,6.99,"2005-05-28 00:54:39","2006-02-15 22:12:33"
525,20,2,6267,6.99,"2005-07-11 15:53:00","2006-02-15 22:12:33"
527,20,2,7864,5.99,"2005-07-28 10:06:10","2006-02-15 22:12:33"
532,20,1,10616,7.99,"2005-08-01 14:59:50","2006-02-15 22:12:33"
540,20,2,15057,6.99,"2005-08-22 10:19:58","2006-02-15 22:12:33"
547,21,2,2235,7.99,"2005-06-18 04:08:50","2006-02-15 22:12:33"
551,21,1,3212,10.99,"2005-06-21 01:04:35","2006-02-15 22:12:33"
557,21,2,8196,6.99,"2005-07-28 22:56:11","2006-02-15 22:12:33"
560,21,1,9699,5.99,"2005-07-31 07:29:25","2006-02-15 22:12:33"
567,21,1,12774,6.99,"2005-08-18 23:34:22","2006-02-15 22:12:33"
571,21,1,13463,8.99,"2005-08-20 00:50:54","2006-02-15 22:12:33"
572,21,1,13699,9.99,"2005-08-20 09:26:14","2006-02-15 22:12:33"
574,21,2,14077,8.99,"2005-08-20 23:24:07","2006-02-15 22:12:33"
581,22,2,820,8.99,"2005-05-29 21:07:22","2006-02-15 22:12:33"
584,22,1,5294,6.99,"2005-07-09 15:23:42","2006-02-15 22:12:33"
587,22,1,7705,7.99,"2005-07-28 04:02:58","2006-02-15 22:12:33"
590,22,1,12023,5.99,"2005-08-17 19:54:54","2006-02-15 22:12:33"
593,22,2,13060,9.99,"2005-08-19 09:43:25","2006-02-15 22:12:33"
595,22,1,14564,6.99,"2005-08-21 16:24:43","2006-02-15 22:12:33"
596,22,1,15134,7.99,"2005-08-22 13:18:25","2006-02-15 22:12:33"
597,22,1,15589,6.99,"2005-08-23 06:03:31","2006-02-15 22:12:33"
601,23,1,129,8.99,"2005-05-25 21:20:03","2006-02-15 22:12:33"
606,23,1,3015,5.99,"2005-06-20 10:48:56","2006-02-15 22:12:33"
614,23,2,6917,5.99,"2005-07-12 22:30:15","2006-02-15 22:12:34"
615,23,1,7155,7.99,"2005-07-27 07:18:46","2006-02-15 22:12:34"
618,23,2,9209,5.99,"2005-07-30 12:55:36","2006-02-15 22:12:34"
619,23,2,9255,9.99,"2005-07-30 14:26:46","2006-02-15 22:12:34"
621,23,1,10132,6.99,"2005-07-31 21:50:24","2006-02-15 22:12:34"
626,23,2,13429,6.99,"2005-08-19 23:25:37","2006-02-15 22:12:34"
631,24,2,1007,6.99,"2005-05-31 01:02:28","2006-02-15 22:12:34"
636,24,1,2451,5.99,"2005-06-18 19:28:02","2006-02-15 22:12:34"
637,24,2,2963,7.99,"2005-06-20 07:33:09","2006-02-15 22:12:34"
638,24,2,3649,7.99,"2005-07-06 07:32:42","2006-02-15 22:12:34"
650,24,2,12165,8.99,"2005-08-18 00:53:37","2006-02-15 22:12:34"
656,25,1,90,7.99,"2005-05-25 14:31:25","2006-02-15 22:12:34"
660,25,2,1754,6.99,"2005-06-16 17:13:23","2006-02-15 22:12:34"
661,25,2,2625,8.99,"2005-06-19 08:23:11","2006-02-15 22:12:34"
672,25,1,9140,8.99,"2005-07-30 10:12:01","2006-02-15 22:12:34"
676,25,1,10324,5.99,"2005-08-01 04:49:06","2006-02-15 22:12:34"
684,25,1,15972,5.99,"2005-08-23 20:00:30","2006-02-15 22:12:34"
687,26,1,1440,5.99,"2005-06-15 18:53:14","2006-02-15 22:12:34"
689,26,1,2093,9.99,"2005-06-17 18:14:08","2006-02-15 22:12:34"
691,26,2,2421,6.99,"2005-06-18 17:25:05","2006-02-15 22:12:34"
698,26,1,4431,6.99,"2005-07-07 22:39:02","2006-02-15 22:12:34"
700,26,1,4641,6.99,"2005-07-08 09:09:46","2006-02-15 22:12:34"
711,26,1,11744,5.99,"2005-08-17 08:54:30","2006-02-15 22:12:34"
714,26,2,14192,8.99,"2005-08-21 03:37:42","2006-02-15 22:12:34"
716,26,1,14677,7.99,"2005-08-21 20:12:30","2006-02-15 22:12:34"
718,26,1,15722,7.99,"2005-08-23 11:16:29","2006-02-15 22:12:34"
729,27,1,4510,5.99,"2005-07-08 02:34:51","2006-02-15 22:12:35"
733,27,2,6562,5.99,"2005-07-12 05:26:26","2006-02-15 22:12:35"
737,27,2,9636,5.99,"2005-07-31 05:12:59","2006-02-15 22:12:35"
738,27,1,9673,7.99,"2005-07-31 06:34:55","2006-02-15 22:12:35"
740,27,1,10794,7.99,"2005-08-01 21:51:15","2006-02-15 22:12:35"
743,27,1,11661,8.99,"2005-08-17 05:25:57","2006-02-15 22:12:35"
744,27,2,11740,6.99,"2005-08-17 08:48:31","2006-02-15 22:12:35"
745,27,2,12021,5.99,"2005-08-17 19:52:43","2006-02-15 22:12:35"
761,28,1,5817,5.99,"2005-07-10 15:49:12","2006-02-15 22:12:35"
764,28,1,7580,9.99,"2005-07-27 23:07:40","2006-02-15 22:12:35"
771,28,2,10294,6.99,"2005-08-01 03:48:12","2006-02-15 22:12:35"
785,29,1,2701,7.99,"2005-06-19 13:33:06","2006-02-15 22:12:35"
790,29,2,4262,6.99,"2005-07-07 14:24:30","2006-02-15 22:12:35"
793,29,2,5442,10.99,"2005-07-09 21:55:19","2006-02-15 22:12:35"
796,29,1,7451,6.99,"2005-07-27 18:18:41","2006-02-15 22:12:35"
801,29,1,10543,5.99,"2005-08-01 12:36:09","2006-02-15 22:12:35"
807,29,2,12569,6.99,"2005-08-18 15:20:46","2006-02-15 22:12:35"
808,29,2,12615,6.99,"2005-08-18 17:16:07","2006-02-15 22:12:35"
815,29,1,14985,7.99,"2005-08-22 07:35:56","2006-02-15 22:12:35"
816,29,1,14997,5.99,"2005-08-22 07:53:00","2006-02-15 22:12:35"
825,30,2,5028,5.99,"2005-07-09 02:34:45","2006-02-15 22:12:36"
826,30,1,5108,9.99,"2005-07-09 06:44:30","2006-02-15 22:12:36"
828,30,2,5972,7.99,"2005-07-11 00:08:54","2006-02-15 22:12:36"
841,30,1,10235,6.99,"2005-08-01 01:57:48","2006-02-15 22:12:36"
855,31,2,2341,6.99,"2005-06-18 11:35:30","2006-02-15 22:12:36"
856,31,1,2396,7.99,"2005-06-18 15:49:48","2006-02-15 22:12:36"
865,31,1,4122,6.99,"2005-07-07 07:15:35","2006-02-15 22:12:36"
866,31,2,4738,9.99,"2005-07-08 13:24:58","2006-02-15 22:12:36"
876,31,2,15682,6.99,"2005-08-23 09:37:34","2006-02-15 22:12:36"
877,31,2,15816,6.99,"2005-08-23 14:58:06","2006-02-15 22:12:36"
881,32,2,1887,6.99,"2005-06-17 03:53:18","2006-02-15 22:12:36"
883,32,2,2624,5.99,"2005-06-19 08:22:09","2006-02-15 22:12:36"
889,32,1,5307,9.99,"2005-07-09 15:57:15","2006-02-15 22:12:36"
894,32,1,7084,6.99,"2005-07-27 04:34:07","2006-02-15 22:12:36"
895,32,1,7589,5.99,"2005-07-27 23:23:36","2006-02-15 22:12:36"
897,32,2,8390,5.99,"2005-07-29 05:52:26","2006-02-15 22:12:36"
902,32,2,12414,9.99,"2005-08-18 09:50:40","2006-02-15 22:12:36"
903,32,1,13736,8.99,"2005-08-20 10:31:23","2006-02-15 22:12:36"
906,32,2,14570,5.99,"2005-08-21 16:32:32","2006-02-15 22:12:36"
908,33,1,1301,10.99,"2005-06-15 09:46:33","2006-02-15 22:12:36"
909,33,2,3173,8.99,"2005-06-20 22:21:10","2006-02-15 22:12:36"
910,33,1,4095,5.99,"2005-07-07 06:01:48","2006-02-15 22:12:36"
920,33,1,13241,7.99,"2005-08-19 16:25:00","2006-02-15 22:12:36"
922,33,1,13958,7.99,"2005-08-20 18:11:44","2006-02-15 22:12:36"
925,33,1,15096,5.99,"2005-08-22 11:43:04","2006-02-15 22:12:36"
929,34,2,2257,5.99,"2005-06-18 05:29:52","2006-02-15 22:12:36"
935,34,2,5918,5.99,"2005-07-10 21:32:06","2006-02-15 22:12:36"
950,34,1,14686,5.99,"2005-08-21 20:32:08","2006-02-15 22:12:37"
951,34,2,14701,7.99,"2005-08-21 20:54:32","2006-02-15 22:12:37"
953,35,1,424,6.99,"2005-05-27 15:34:01","2006-02-15 22:12:37"
965,35,1,5916,5.99,"2005-07-10 21:26:31","2006-02-15 22:12:37"
967,35,1,6147,5.99,"2005-07-11 09:13:08","2006-02-15 22:12:37"
972,35,1,8822,6.99,"2005-07-29 22:20:21","2006-02-15 22:12:37"
973,35,1,8971,5.99,"2005-07-30 04:03:58","2006-02-15 22:12:37"
975,35,1,9579,6.99,"2005-07-31 02:59:20","2006-02-15 22:12:37"
977,35,1,11452,7.99,"2005-08-02 20:59:52","2006-02-15 22:12:37"
992,36,1,7205,6.99,"2005-07-27 09:06:13","2006-02-15 22:12:37"
994,36,2,7919,6.99,"2005-07-28 11:59:45","2006-02-15 22:12:37"
1003,36,2,10964,6.99,"2005-08-02 03:56:23","2006-02-15 22:12:37"
1009,36,1,14647,9.99,"2005-08-21 19:15:33","2006-02-15 22:12:37"
1016,37,2,3472,7.99,"2005-07-05 22:56:33","2006-02-15 22:12:37"
1017,37,1,3734,5.99,"2005-07-06 11:40:27","2006-02-15 22:12:37"
1018,37,1,5425,5.99,"2005-07-09 21:02:26","2006-02-15 22:12:37"
1020,37,1,8419,9.99,"2005-07-29 06:54:48","2006-02-15 22:12:37"
1021,37,1,9567,5.99,"2005-07-31 02:36:11","2006-02-15 22:12:37"
1024,37,1,13046,7.99,"2005-08-19 09:21:10","2006-02-15 22:12:37"
1028,37,2,14025,8.99,"2005-08-20 21:19:36","2006-02-15 22:12:37"
1039,38,1,4202,5.99,"2005-07-07 11:23:48","2006-02-15 22:12:37"
1046,38,1,6864,5.99,"2005-07-12 19:59:25","2006-02-15 22:12:38"
1049,38,2,7163,5.99,"2005-07-27 07:36:11","2006-02-15 22:12:38"
1050,38,2,7321,5.99,"2005-07-27 13:33:38","2006-02-15 22:12:38"
1057,38,2,10524,6.99,"2005-08-01 11:53:12","2006-02-15 22:12:38"
1065,38,1,14787,6.99,"2005-08-22 00:25:59","2006-02-15 22:12:38"
1067,38,1,15738,5.99,"2005-08-23 11:55:50","2006-02-15 22:12:38"
1068,39,1,1625,5.99,"2005-06-16 07:49:08","2006-02-15 22:12:38"
1074,39,1,4419,5.99,"2005-07-07 22:06:24","2006-02-15 22:12:38"
1075,39,2,4695,8.99,"2005-07-08 11:07:59","2006-02-15 22:12:38"
1076,39,2,4712,6.99,"2005-07-08 12:10:50","2006-02-15 22:12:38"
1077,39,2,4727,7.99,"2005-07-08 12:54:15","2006-02-15 22:12:38"
1081,39,2,8307,6.99,"2005-07-29 03:18:34","2006-02-15 22:12:38"
1083,39,2,8723,7.99,"2005-07-29 18:03:47","2006-02-15 22:12:38"
1092,39,1,10639,9.99,"2005-08-01 15:44:43","2006-02-15 22:12:38"
1095,39,2,13101,7.99,"2005-08-19 11:01:54","2006-02-15 22:12:38"
1096,39,2,15124,5.99,"2005-08-22 12:51:38","2006-02-15 22:12:38"
1098,40,2,2470,7.99,"2005-06-18 20:28:31","2006-02-15 22:12:38"
1104,40,1,5869,5.99,"2005-07-10 18:40:09","2006-02-15 22:12:38"
1109,40,1,9050,8.99,"2005-07-30 06:59:55","2006-02-15 22:12:38"
1111,40,2,9961,6.99,"2005-07-31 16:07:50","2006-02-15 22:12:38"
1116,40,2,12396,9.99,"2005-08-18 09:11:23","2006-02-15 22:12:38"
1118,40,1,13149,6.99,"2005-08-19 13:07:12","2006-02-15 22:12:38"
1120,40,1,13840,5.99,"2005-08-20 14:23:20","2006-02-15 22:12:38"
1122,40,1,14260,6.99,"2005-08-21 06:01:08","2006-02-15 22:12:38"
1125,41,2,3246,7.99,"2005-06-21 03:10:01","2006-02-15 22:12:38"
1127,41,2,4294,9.99,"2005-07-07 15:56:23","2006-02-15 22:12:38"
1133,41,2,8008,6.99,"2005-07-28 15:25:55","2006-02-15 22:12:38"
1135,41,1,8134,6.99,"2005-07-28 20:01:23","2006-02-15 22:12:38"
1138,41,2,9313,5.99,"2005-07-30 16:59:43","2006-02-15 22:12:38"
1140,41,1,10170,7.99,"2005-07-31 23:27:31","2006-02-15 22:12:38"
1142,41,1,10853,5.99,"2005-08-02 00:00:54","2006-02-15 22:12:38"
1146,41,2,14539,7.99,"2005-08-21 15:29:47","2006-02-15 22:12:38"
1149,42,1,635,5.99,"2005-05-28 17:46:57","2006-02-15 22:12:39"
1150,42,2,1534,0.99,"2005-06-16 00:49:32","2006-02-15 22:12:39"
1151,42,2,2056,2.99,"2005-06-17 15:27:33","2006-02-15 22:12:39"
1152,42,1,2170,3.99,"2005-06-17 23:57:34","2006-02-15 22:12:39"
1153,42,1,2302,4.99,"2005-06-18 08:27:33","2006-02-15 22:12:39"
1154,42,2,4391,2.99,"2005-07-07 21:09:38","2006-02-15 22:12:39"
1155,42,2,5199,4.99,"2005-07-09 10:50:56","2006-02-15 22:12:39"
1156,42,2,5517,5.99,"2005-07-10 01:15:00","2006-02-15 22:12:39"
1157,42,2,5652,3.99,"2005-07-10 07:18:58","2006-02-15 22:12:39"
1158,42,1,6179,2.99,"2005-07-11 10:59:59","2006-02-15 22:12:39"
1159,42,1,6799,2.99,"2005-07-12 16:52:13","2006-02-15 22:12:39"
1160,42,1,6925,0.99,"2005-07-26 22:52:32","2006-02-15 22:12:39"
1161,42,1,7405,3.99,"2005-07-27 16:25:11","2006-02-15 22:12:39"
1162,42,1,8049,0.99,"2005-07-28 16:51:58","2006-02-15 22:12:39"
1163,42,1,8095,6.99,"2005-07-28 18:32:40","2006-02-15 22:12:39"
1164,42,1,8166,2.99,"2005-07-28 21:23:33","2006-02-15 22:12:39"
1165,42,1,8499,3.99,"2005-07-29 09:10:41","2006-02-15 22:12:39"
1166,42,2,8785,2.99,"2005-07-29 20:36:26","2006-02-15 22:12:39"
1167,42,2,8852,3.99,"2005-07-29 23:30:03","2006-02-15 22:12:39"
1168,42,2,8915,3.99,"2005-07-30 01:42:09","2006-02-15 22:12:39"
1169,42,2,10060,6.99,"2005-07-31 19:23:00","2006-02-15 22:12:39"
1170,42,2,10345,2.99,"2005-08-01 05:18:56","2006-02-15 22:12:39"
1171,42,2,10845,2.99,"2005-08-01 23:47:03","2006-02-15 22:12:39"
1172,42,1,10935,5.99,"2005-08-02 02:54:53","2006-02-15 22:12:39"
1173,42,1,12478,4.99,"2005-08-18 12:25:16","2006-02-15 22:12:39"
1174,42,2,12499,2.99,"2005-08-18 13:05:37","2006-02-15 22:12:39"
1175,42,1,14461,7.99,"2005-08-21 12:50:33","2006-02-15 22:12:39"
1176,42,1,15442,2.99,"2005-08-23 00:42:49","2006-02-15 22:12:39"
1177,42,1,13351,5.98,"2006-02-14 15:16:03","2006-02-15 22:12:39"
1178,42,1,15407,0.00,"2006-02-14 15:16:03","2006-02-15 22:12:39"
1199,43,2,15800,6.99,"2005-08-23 14:23:44","2006-02-15 22:12:39"
1213,44,2,4723,9.99,"2005-07-08 12:44:59","2006-02-15 22:12:39"
1215,44,1,5787,8.99,"2005-07-10 14:08:49","2006-02-15 22:12:39"
1216,44,2,5849,6.99,"2005-07-10 17:32:33","2006-02-15 22:12:39"
1219,44,2,7526,6.99,"2005-07-27 21:13:47","2006-02-15 22:12:39"
1225,44,1,12790,6.99,"2005-08-19 00:16:54","2006-02-15 22:12:39"
1236,45,1,5181,6.99,"2005-07-09 10:07:27","2006-02-15 22:12:39"
1237,45,1,5405,7.99,"2005-07-09 20:11:49","2006-02-15 22:12:39"
1241,45,1,6966,9.99,"2005-07-27 00:15:35","2006-02-15 22:12:39"
1245,45,2,10878,6.99,"2005-08-02 00:33:12","2006-02-15 22:12:39"
1246,45,1,11004,8.99,"2005-08-02 05:04:18","2006-02-15 22:12:39"
1253,45,1,14576,6.99,"2005-08-21 16:52:03","2006-02-15 22:12:40"
1254,45,1,15812,10.99,"2005-08-23 14:47:26","2006-02-15 22:12:40"
1255,45,2,16037,7.99,"2005-08-23 22:13:04","2006-02-15 22:12:40"
1263,46,2,2965,8.99,"2005-06-20 07:33:38","2006-02-15 22:12:40"
1271,46,2,9045,8.99,"2005-07-30 06:36:57","2006-02-15 22:12:40"
1276,46,1,10827,5.99,"2005-08-01 23:13:00","2006-02-15 22:12:40"
1285,46,2,14528,6.99,"2005-08-21 15:08:05","2006-02-15 22:12:40"
1289,46,1,15758,5.99,"2005-08-23 12:47:26","2006-02-15 22:12:40"
1292,47,1,300,6.99,"2005-05-26 20:57:00","2006-02-15 22:12:40"
