film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
81,"BLINDNESS GUN","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",2006,1,NULL,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
82,"BLOOD ARGONAUTS","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",2006,1,NULL,3,0.99,71,13.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
83,"BLUES INSTINCT","A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House",2006,1,NULL,5,2.99,50,18.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
86,"BOOGIE AMELIE","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico",2006,1,NULL,6,4.99,121,11.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
87,"BOONDOCK BALLROOM","A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico",2006,1,NULL,7,0.99,76,14.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
89,"BORROWERS BEDAZZLED","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House",2006,1,NULL,7,0.99,63,22.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
91,"BOUND CHEAPER","A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon",2006,1,NULL,5,0.99,98,17.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
97,"BRIDE INTRIGUE","A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans",2006,1,NULL,7,0.99,56,24.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
101,"BROTHERHOOD BLANKET","A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan",2006,1,NULL,3,0.99,73,26.99,R,"Behind the Scenes","2006-02-15 05:03:42"
102,"BUBBLE GROSSE","A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon",2006,1,NULL,4,4.99,60,20.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
107,"BUNCH MINDS","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,1,NULL,4,2.99,63,13.99,G,"Behind the Scenes","2006-02-15 05:03:42"
109,"BUTTERFLY CHOCOLAT","A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank",2006,1,NULL,3,0.99,89,17.99,G,"Behind the Scenes","2006-02-15 05:03:42"
112,"CALENDAR GUNFIGHT","A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria",2006,1,NULL,4,4.99,120,22.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
114,"CAMELOT VACATION","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,NULL,3,0.99,61,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
115,"CAMPUS REMEMBER","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",2006,1,NULL,5,2.99,167,27.99,R,"Behind the Scenes","2006-02-15 05:03:42"
116,"CANDIDATE PERDITION","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,NULL,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
121,"CAROL TEXAS","A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery",2006,1,NULL,4,2.99,151,15.99,PG,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
122,"CARRIE BUNCH","A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies",2006,1,NULL,7,0.99,114,11.99,PG,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
123,"CASABLANCA SUPER","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station",2006,1,NULL,6,4.99,85,22.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
125,"CASSIDY WYOMING","A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans",2006,1,NULL,5,2.99,61,19.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
128,"CATCH AMISTAD","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,NULL,7,0.99,183,10.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
129,"CAUSE DATE","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,NULL,3,2.99,179,16.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
130,"CELEBRITY HORN","A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank",2006,1,NULL,7,0.99,110,24.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
132,"CHAINSAW UPTOWN","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,NULL,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
135,"CHANCE RESURRECTION","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,NULL,3,2.99,70,22.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
136,"CHAPLIN LICENSE","A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India",2006,1,NULL,7,2.99,146,26.99,NC-17,"Behind the Scenes","2006-02-15 05:03:42"
137,"CHARADE DUFFEL","A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention",2006,1,NULL,3,2.99,66,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
138,"CHARIOTS CONSPIRACY","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",2006,1,NULL,5,2.99,71,29.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
140,"CHEAPER CLYDE","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,NULL,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
141,"CHICAGO NORTH","A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California",2006,1,NULL,6,4.99,185,11.99,PG-13,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
142,"CHICKEN HELLFIGHTERS","A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia",2006,1,NULL,3,0.99,122,24.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
145,"CHISUM BEHAVIOR","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,NULL,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
147,"CHOCOLAT HARRY","A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan",2006,1,NULL,5,0.99,101,16.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
148,"CHOCOLATE DUCK","A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China",2006,1,NULL,3,2.99,132,13.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
149,"CHRISTMAS MOONSHINE","A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse",2006,1,NULL,7,0.99,150,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
150,"CIDER DESIRE","A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia",2006,1,NULL,7,2.99,101,9.99,PG,"Behind the Scenes","2006-02-15 05:03:42"
152,"CIRCUS YOUTH","A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon",2006,1,NULL,5,2.99,90,13.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
155,"CLEOPATRA DEVIL","A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon",2006,1,NULL,6,0.99,150,26.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
157,"CLOCKWORK PARADISE","A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon",2006,1,NULL,7,0.99,143,29.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
158,"CLONES PINOCCHIO","A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans",2006,1,NULL,6,2.99,124,16.99,R,"Behind the Scenes","2006-02-15 05:03:42"
159,"CLOSER BANG","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India",2006,1,NULL,5,4.99,58,12.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
161,"CLUE GRAIL","A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China",2006,1,NULL,6,4.99,70,27.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
162,"CLUELESS BUCKET","A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House",2006,1,NULL,4,2.99,95,13.99,R,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
163,"CLYDE THEORY","A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat",2006,1,NULL,4,0.99,139,29.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
164,"COAST RAINBOW","A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert",2006,1,NULL,4,0.99,55,20.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
166,"COLOR PHILADELPHIA","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,NULL,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
168,"COMANCHEROS ENEMY","A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico",2006,1,NULL,5,0.99,67,23.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
169,"COMFORTS RUSH","A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft",2006,1,NULL,3,2.99,76,19.99,NC-17,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
170,"COMMAND DARLING","A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan",2006,1,NULL,5,4.99,120,28.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
172,"CONEHEADS SMOOCHY","A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria",2006,1,NULL,7,4.99,112,12.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
173,"CONFESSIONS MAGUIRE","A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon",2006,1,NULL,7,4.99,65,25.99,PG-13,"Behind the Scenes","2006-02-15 05:03:42"
175,"CONFUSED CANDLES","A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon",2006,1,NULL,3,2.99,122,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
176,"CONGENIALITY QUEST","A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon",2006,1,NULL,6,0.99,87,21.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
178,"CONNECTION MICROCOSMOS","A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station",2006,1,NULL,6,0.99,115,25.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
179,"CONQUERER NUTS","A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft",2006,1,NULL,4,4.99,173,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
185,"COWBOY DOOM","A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon",2006,1,NULL,3,2.99,146,10.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
186,"CRAFT OUTFIELD","A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory",2006,1,NULL,6,0.99,64,17.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
190,"CREEPERS KANE","A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat",2006,1,NULL,5,4.99,172,23.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
191,"CROOKED FROGMEN","A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park",2006,1,NULL,6,0.99,143,27.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
192,"CROSSING DIVORCE","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",2006,1,NULL,4,4.99,50,19.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
193,"CROSSROADS CASUALTIES","A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback",2006,1,NULL,5,2.99,153,20.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
194,"CROW GREASE","A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station",2006,1,NULL,6,0.99,104,22.99,PG,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
195,"CROWDS TELEMARK","A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House",2006,1,NULL,3,4.99,112,16.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
196,"CRUELTY UNFORGIVEN","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria",2006,1,NULL,7,0.99,69,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
199,"CUPBOARD SINNERS","A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park",2006,1,NULL,4,2.99,56,29.99,R,"Behind the Scenes","2006-02-15 05:03:42"
200,"CURTAIN VIDEOTAPE","A Boring Reflection of a Dentist And a Mad Cow who must Chase a Secret Agent in A Shark Tank",2006,1,NULL,7,0.99,133,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
202,"DADDY PITTSBURGH","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico",2006,1,NULL,5,4.99,161,26.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
203,"DAISY MENAGERIE","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",2006,1,NULL,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
205,"DANCES NONE","A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park",2006,1,NULL,3,0.99,58,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
206,"DANCING FEVER","A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank",2006,1,NULL,6,0.99,144,25.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
208,"DARES PLUTO","A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans",2006,1,NULL,7,2.99,89,16.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
209,"DARKNESS WAR","A Touching Documentary of a Husband And a Hunter who must Escape a Boy in The Sahara Desert",2006,1,NULL,6,2.99,99,24.99,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
210,"DARKO DORADO","A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans",2006,1,NULL,3,4.99,130,13.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
211,"DARLING BREAKING","A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico",2006,1,NULL,7,4.99,165,20.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
215,"DAWN POND","A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin",2006,1,NULL,4,4.99,57,27.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
216,"DAY UNFAITHFUL","A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat",2006,1,NULL,3,4.99,113,16.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
218,"DECEIVER BETRAYED","A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India",2006,1,NULL,7,0.99,122,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
219,"DEEP CRUSADE","A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia",2006,1,NULL,6,4.99,51,20.99,PG-13,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
